Well1,Well2,StartMonth,EndMonth,Duration,MeanWell1,StdWell1,MinWell1,MaxWell1,MeanWell2,StdWell2,MinWell2,MaxWell2,PearsonCorr
29N04W20A001M,23N01W31M002M,2008-09,2021-09,157,402.67745422611466,3.2022687222917683,394.228,407.618,131.68428669044584,9.322398475634554,104.506,147.688,0.7433711285615644
29N04W20A001M,23N01W28M002M,2009-09,2021-09,145,402.84254287379315,3.165113598154441,394.637,407.618,138.32459774965517,7.558334510134984,112.945,151.793,0.7585568110010604
29N04W20A001M,22N02W01N004M,2007-12,2021-09,166,402.62906102771086,3.214615684176588,394.228,407.618,135.92060457831323,2.670995822679355,131.06,149.01,0.5708262610145471
29N04W20A001M,22N02W18C002M,2007-12,2021-09,166,402.62906102771086,3.214615684176588,394.228,407.618,154.9569018168675,17.92019076691571,102.329,181.919,0.6572688215727867
29N04W20A001M,23N01W28M004M,2009-03,2021-09,151,402.7975139814569,3.1300647493589047,394.637,407.618,135.83756107218542,6.8098937568598386,120.8,149.871,0.7381090929964137
29N04W20A001M,23N01W28M005M,2009-03,2021-09,151,402.7975139814569,3.1300647493589047,394.637,407.618,136.02036971986755,6.344901338075565,122.094,150.314,0.7590099626063108
29N04W20A001M,23N01W31M003M,2008-09,2021-09,157,402.67745422611466,3.2022687222917683,394.228,407.618,131.04986441656052,8.265424571945157,109.165,147.425,0.6389750365315481
29N04W20A001M,23N01W31M001M,2008-09,2021-09,157,402.67745422611466,3.2022687222917683,394.228,407.618,129.4012427643312,10.919632117568215,77.84,143.645,0.6854436559755402
29N04W20A001M,23N02W28N004M,2011-12,2021-09,118,402.7805804135593,3.130325573024153,394.637,407.491,139.37572000932204,14.634796914596262,104.048,167.648,0.6634999902862319
29N04W20A001M,23N02W28N001M,2012-03,2021-09,115,402.7331433808696,3.1557574172593186,394.637,407.491,130.79991825130435,9.985854776283814,86.534,145.176,0.6253659309488758
29N04W20A001M,23N02W28N003M,2011-12,2021-09,118,402.7805804135593,3.130325573024153,394.637,407.491,135.9219750101695,15.675007050669082,96.109,164.287,0.6235731193108942
29N04W20A001M,23N03W13C003M,2007-12,2021-09,166,402.62906102771086,3.214615684176588,394.228,407.618,140.9500587885542,12.371039060267874,90.889,158.563,0.3447559996110817
29N04W20A001M,23N02W28N002M,2011-12,2021-09,118,402.7805804135593,3.130325573024153,394.637,407.491,131.5223184923729,10.680606997426006,90.271,147.434,0.6429288013321589
29N04W20A001M,23N01W31M004M,2008-09,2021-09,157,402.67745422611466,3.2022687222917683,394.228,407.618,135.6057403280255,2.557816472528242,130.807,143.83,0.6866073853214482
29N04W20A001M,23N03W13C004M,2007-12,2021-09,166,402.62906102771086,3.214615684176588,394.228,407.618,140.97975908114458,13.25927963725362,88.415,158.808,0.3728497314761947
29N04W20A001M,23N03W25M004M,2011-12,2021-09,118,402.7805804135593,3.130325573024153,394.637,407.491,154.6168724,10.440347062633634,125.183,176.924,0.615615872114172
29N04W20A001M,23N03W13C006M,2007-12,2021-07,164,402.72254957682924,3.119193005877718,394.228,407.618,155.55643134878048,9.288518762512702,127.86,172.022,0.4550688771294175
29N04W20A001M,29N03W18M001M,2007-12,2013-02,63,402.219835584127,3.334338497628305,394.228,407.618,391.54418991111106,2.766937788979254,383.575,395.361,0.7072623708894075
29N04W20A001M,24N01W05K001M,2007-12,2013-02,63,402.219835584127,3.334338497628305,394.228,407.618,233.70484054285714,2.0828870740488776,229.552,239.002,0.45574112945375644
29N04W20A001M,23N03W13C005M,2007-12,2021-09,166,402.62906102771086,3.214615684176588,394.228,407.618,154.2624885560241,10.771209888143169,121.545,171.22,0.5289402513271063
29N04W20A001M,23N03W25M002M,2011-12,2021-09,118,402.7805804135593,3.130325573024153,394.637,407.491,147.48566150254234,17.713334393204402,101.549,177.718,0.6104207364121482
29N04W20A001M,23N03W25M001M,2011-12,2021-09,118,402.7805804135593,3.130325573024153,394.637,407.491,127.48288648703388,13.74065517550476,75.977,145.643,0.55728699555973
29N04W20A001M,29N04W03R004M,2010-09,2022-09,145,402.5372198310345,3.354416265662425,393.36,407.618,391.94188380137933,2.075752321600126,384.93,395.51,0.8195845763807155
29N04W20A001M,29N04W03R002M,2011-06,2022-09,136,402.40933676176473,3.3292614296219827,393.36,407.491,389.0807572220588,2.7118773433474126,382.285,394.185,0.8682481870229015
29N04W20A001M,23N03W25M003M,2011-12,2021-09,118,402.7805804135593,3.130325573024153,394.637,407.491,151.71825003983054,12.949113335030416,114.573,176.24,0.5891970229638553
29N04W20A001M,23N03W13C007M,2007-12,2021-09,166,402.62906102771086,3.214615684176588,394.228,407.618,196.905975276506,4.7974457483246455,187.36,206.428,0.4800127128479279
29N04W20A001M,29N04W03R006M,2010-09,2022-09,145,402.5372198310345,3.354416265662425,393.36,407.618,424.44496590344835,4.042923540691215,410.236,430.408,0.21549027635415233
29N04W20A001M,29N04W03R005M,2010-09,2022-07,143,402.66078933916083,3.2084439069103756,394.637,407.618,385.31203633636363,3.038022098131304,377.651,390.09,0.8265006124990343
29N04W20A001M,387172N1216323W001,2020-03,2022-09,31,399.71792934516134,3.8716400891104104,393.36,405.7644767,8.613193548387095,4.27850901147705,-0.304,13.641,0.5621314458948745
29N04W20A001M,29N04W20A002M,2007-12,2022-09,178,402.35808500337083,3.365649077026259,393.36,407.618,399.9479271679775,3.0606007830120605,391.292,405.555,0.8607537964248403
29N04W20A001M,387183N1216337W001,2020-03,2022-09,31,399.71792934516134,3.8716400891104104,393.36,405.7644767,8.575645161290323,4.3308694011586715,-0.245,13.825,0.5731381804590616
29N04W20A001M,387320N1216329W001,2020-03,2022-06,28,400.3036003464286,3.5921560795831033,394.637,405.7644767,9.817694707142858,3.6947221730724613,0.678,14.536,0.5214909923630269
29N04W20A001M,29N04W20A003M,2007-12,2021-07,164,402.72254957682924,3.119193005877718,394.228,407.618,410.84522261402435,3.8985953366833574,404.102,431.506,0.1815679577400735
29N04W20A001M,387322N1216299W001,2020-03,2022-09,31,399.71792934516134,3.8716400891104104,393.36,405.7644767,9.344486002258066,4.3677955180501185,-0.468,14.437,0.6140136514848349
29N04W20A001M,387320N1216329W002,2020-03,2022-09,31,399.71792934516134,3.8716400891104104,393.36,405.7644767,8.688967741935482,4.842642842387278,-1.83,14.537,0.6584752924185394
29N04W20A001M,387485N1216335W001,2020-03,2022-09,31,399.71792934516134,3.8716400891104104,393.36,405.7644767,12.327677419354835,4.552653441581051,2.187,17.266,0.6131501043018887
29N04W20A001M,30N04W10H005M,2010-09,2022-07,143,402.66078933916083,3.2084439069103756,394.637,407.618,398.3063986013986,2.581270252152206,392.029,404.789,0.8512186239726226
29N04W20A001M,29N04W03R003M,2010-09,2022-09,145,402.5372198310345,3.354416265662425,393.36,407.618,390.13008052413795,2.7429890899102194,383.222,395.093,0.8864256083091842
29N04W20A001M,48N04E13K001M,2007-12,2009-09,22,400.93924608636365,3.322064180954265,394.228,405.651,4000.7610454545447,14.914230754478613,3965.534,4015.461,0.3801814588289511
29N04W20A001M,387322N1216299W002,2020-03,2022-09,31,399.71792934516134,3.8716400891104104,393.36,405.7644767,9.387419354838707,4.38169422160115,-0.48,14.5,0.6164760236434793
29N04W20A001M,387485N1216335W002,2020-03,2022-09,31,399.71792934516134,3.8716400891104104,393.36,405.7644767,12.294589414516128,4.511182210952057,2.252,17.202,0.6159041601906623
29N04W20A001M,387485N1216339W001,2020-03,2022-07,29,400.13282102413797,3.6453456212929094,394.637,405.7644767,13.179074568068964,3.192890411118401,4.409,17.217,0.4788171438336766
29N04W20A001M,29N04W20A004M,2007-12,2022-09,178,402.35808500337083,3.365649077026259,393.36,407.618,414.58665181685393,2.530148950958023,406.656,420.402,0.8483976832525926
29N04W20A001M,387628N1216350W001,2020-03,2022-09,31,399.71792934516134,3.8716400891104104,393.36,405.7644767,11.488847736516126,2.399378908324563,6.393,14.489,0.7196133001497143
29N04W20A001M,30N04W10H004M,2010-09,2022-07,143,402.66078933916083,3.2084439069103756,394.637,407.618,397.36160139860135,2.5768098005962217,394.689,404.805,0.21978643667168704
29N04W20A001M,387485N1216339W002,2020-03,2022-09,31,399.71792934516134,3.8716400891104104,393.36,405.7644767,12.262272843225807,4.537973201200678,2.097,17.351,0.6025013216576515
29N04W20A001M,48N04E35C001M,2007-12,2013-06,67,402.29317140149254,3.252556186509617,394.228,407.618,4001.7530953731334,28.61944108236017,3841.334,4011.303,-0.016003629331310033
29N04W20A001M,387628N1216350W002,2020-03,2022-09,31,399.71792934516134,3.8716400891104104,393.36,405.7644767,11.215590167741935,2.4592564164662063,6.39,14.57,0.6711674927201441
29N04W20A002M,01N04E36Q002M,2007-12,2019-06,139,400.39860587625896,2.805818251281133,393.943,405.555,-7.250627315381295,0.8271648596285338,-14.605,-6.025,-0.11869375015009222
29N04W20A001M,48N05E16P001M,2007-12,2013-08,69,402.2113730391304,3.248160655188986,394.228,407.618,3966.3403210579713,13.660304117123202,3955.178,4006.063558,-0.14015833150021
29N04W20A002M,01S04E28F004M,2007-12,2018-02,123,400.25514810406503,2.832081790208395,393.943,405.555,-3.7840015607479685,0.32551261947384896,-4.514,-3.088,-0.17760790240072621
29N04W20A002M,01S04E28P004M,2007-12,2019-07,140,400.39069440571427,2.7972739095200465,393.943,405.555,2.9508473078,0.9829409149102314,-0.428,6.756,0.2085272327012473
29N04W20A002M,04N04E12M002M,2020-06,2022-09,28,397.17108761428574,3.1181116456458295,391.292,402.961477,11.063821428571426,0.5949433246316909,10.19,12.638,0.3764084410418902
29N04W20A002M,04N04E12M001M,2020-06,2022-09,28,397.17108761428574,3.1181116456458295,391.292,402.961477,-8.025357142857143,0.6470233388821467,-9.023,-6.462,0.3896198499828685
29N04W20A002M,01S04E28F003M,2007-12,2014-12,85,400.18065071882353,2.8616570137679447,393.943,405.064,0.577009127482353,0.34898437854992986,-0.061,1.846,-0.0005613116333562934
29N04W20A002M,05N03E09L002M,2012-03,2022-07,125,399.7018499368001,3.0280025926978498,393.5347627,405.555,-0.24042106152800005,1.3127794675742652,-2.771,3.301,0.7250542160651647
29N04W20A002M,01S04E28P002M,2007-12,2019-07,140,400.39069440571427,2.7972739095200465,393.943,405.555,0.6748109973071429,0.6103704935851086,-1.693,2.703,0.14224150637944788
29N04W20A002M,01S04E28F002M,2007-12,2019-06,139,400.39860587625896,2.805818251281133,393.943,405.555,-1.6168464188417266,0.4702559156264089,-2.674,-0.45,0.14102807865536138
29N04W20A002M,01N04E36Q003M,2007-12,2019-06,139,400.39860587625896,2.805818251281133,393.943,405.555,-7.829141229589927,0.2951013432951601,-8.644,-7.1,-0.0969063401601193
29N04W20A002M,01N04E36Q004M,2007-12,2019-06,139,400.39860587625896,2.805818251281133,393.943,405.555,0.9301357324244605,0.4603423825565774,-0.052,2.357,0.33800324988343317
29N04W20A002M,01S04E28F001M,2007-12,2019-06,139,400.39860587625896,2.805818251281133,393.943,405.555,2.3671958271366904,0.5587792238142434,1.582,5.096,0.2494257374582696
29N04W20A002M,05N03E15P001M,2010-09,2017-03,79,399.9795463455696,2.9546365870271973,393.943,405.163,-4.183278481012659,0.9424730144638278,-6.676,-2.351,0.8129787282403338
29N04W20A002M,05N03E15F002M,2010-09,2017-03,79,399.9795463455696,2.9546365870271973,393.943,405.163,-2.78379746835443,0.941954247619752,-4.915,-1.115,0.8389321602402091
29N04W20A002M,05N03E09L001M,2012-03,2022-07,125,399.7018499368001,3.0280025926978498,393.5347627,405.555,-0.26318239256000003,1.3460119890435096,-2.798,3.294,0.7058798021501609
29N04W20A002M,05N03E15F001M,2010-09,2014-12,52,400.0253268365385,3.040280985846682,393.943,405.064,-2.5069999999999997,0.8692492140223258,-4.376,-0.906,0.7939884228193527
29N04W20A002M,01S04E28P001M,2007-12,2019-06,139,400.39860587625896,2.805818251281133,393.943,405.555,-0.14872779464028776,0.6719358517955797,-2.369,1.209,-0.07133672751268016
29N04W20A002M,05N03E16R001M,2011-03,2017-03,73,399.8826680342466,2.9662376021148504,393.943,405.163,0.9262191780821918,0.8346497643152709,-0.838,3.349,0.619579829159249
29N04W20A002M,05N03E16H002M,2012-03,2022-06,124,399.7515845112904,2.988584623706641,393.762,405.555,0.7361877321048387,1.0857779078726084,-1.402,4.145,0.46914023170752994
29N04W20A002M,05N03E15P002M,2010-09,2017-03,79,399.9795463455696,2.9546365870271973,393.943,405.163,-4.269746835443038,0.9519408038635441,-6.747,-2.382,0.816086615823313
29N04W20A002M,05N03E16B001M,2012-03,2022-06,124,399.7515845112904,2.988584623706641,393.762,405.555,3.199502310064516,1.0602872348936858,1.589,8.826,0.42025815835722513
